"","x","y","cellType"
"2",40.9137670196672,91.0650529500756,"Keratin+ Tumour"
"3",38.0508982035928,116.580838323353,"Keratin+ Tumour"
"4",35.5046728971963,141.878504672897,"Keratin+ Tumour"
"5",40.6387665198238,202.15859030837,"Immune"
"6",33.9040404040404,263.636363636364,"Keratin+ Tumour"
"7",32.6590909090909,316.659090909091,"Immune"
"8",32.7631578947368,357.622807017544,"Immune"
"9",34.4444444444444,380.050505050505,"Immune"
"10",34.672131147541,399.688524590164,"Keratin+ Tumour"
"11",39.6472727272727,428.378181818182,"Keratin+ Tumour"
"12",42.1599326599327,483.094276094276,"Keratin+ Tumour"
"13",38.7612456747405,509.681660899654,"Immune"
"14",31.9480519480519,563.714285714286,"Immune"
"15",34.9272727272727,608.648484848485,"Immune"
"16",39.8933500627353,684.370138017566,"Endothelial"
"17",39.3714285714286,712.669841269841,"Immune"
"18",39.4654654654655,891.444444444444,"Immune"
"19",33.5367647058824,912.808823529412,"Immune"
"20",35.7794117647059,934.461764705882,"Immune"
"21",34.9326923076923,1003.79326923077,"Immune"
"22",39.9432835820895,1022.20895522388,"Immune"
"23",35.1980198019802,1038.17326732673,"Immune"
"24",32.7735849056604,1057.82075471698,"Immune"
"25",35.2153284671533,1083.8102189781,"Immune"
"26",35.9460580912863,1112.72199170124,"Immune"
"27",33.6689189189189,1144.25,"Immune"
"28",33.8933333333333,1196.12666666667,"Immune"
"29",37.4021739130435,1239.2472826087,"Unidentified"
"30",39.0508982035928,1263.24550898204,"Immune"
"31",42.7882775119617,1323.63277511962,"Endothelial"
"32",36.7862903225806,1371.08870967742,"Immune"
"33",34.4714285714286,1443.3380952381,"Immune"
"34",33.2666666666667,1462.29166666667,"Immune"
"35",32.2262773722628,1528.39416058394,"Keratin+ Tumour"
"36",34.2387096774194,1553.12258064516,"Keratin+ Tumour"
"37",44.1351981351981,1595.97668997669,"Keratin+ Tumour"
"38",36.2731092436975,1609.11344537815,"Keratin+ Tumour"
"39",37.0123966942149,1643.87603305785,"Immune"
"40",35.3571428571429,1661.61607142857,"Immune"
"41",33.3679245283019,1701.75943396226,"Mesenchymal"
"42",36.0022727272727,1739.85454545455,"Unidentified"
"43",34.4044444444444,1768.46222222222,"Immune"
"44",32.2526315789474,1796.47368421053,"Immune"
"45",34.1555555555556,1846.98333333333,"Endothelial"
"46",37.1339491916859,1882.52655889145,"Immune"
"47",33.3983739837398,1935.86991869919,"Immune"
"48",38.2171717171717,635.277777777778,"Immune"
"49",38.6564705882353,1177.17647058824,"Immune"
"50",41.7415094339623,1393.15471698113,"Immune"
"51",41.974025974026,757.621212121212,"Immune"
"52",40.6682242990654,872.939252336449,"Immune"
"53",42.5938069216758,1214.01639344262,"Mesenchymal"
"55",40.7857142857143,596.879464285714,"Immune"
"56",43.5725,807.94,"Immune"
"57",36.7560975609756,1276.70731707317,"Immune"
